id,course_code,mid_score,mid_participation_score,mid_lab_score,final_grade,sex,age,address,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,activities,higher,health,wassce
Stu12,UFS101,14.49,3.85,4.8,A+,female,56,rural,higher education,none,other,teacher,course,mother,1-15 mins,>10 hours,no,yes,2,42
Stu13,ENG101,9.19,2.35,0.52,B-,female,23,rural,junior high,secondary education,civil,other,reputation,father,30mins - 1 hour,2-5 hours,yes,yes,5,22
Stu14,FRN101,2.7,0.32,4.24,B,female,24,urban,junior high,primary education,health,health,other,father,15-30 mins,>10 hours,yes,no,4,41
Stu15,ENG101,6.8,3.14,1.95,B,male,52,urban,secondary education,junior high,at home,teacher,course,mother,> 1hour,5-10 hours,no,no,10,32
Stu16,CS103,8.89,0.34,3.63,A+,male,56,urban,higher education,primary education,other,civil,reputation,mother,> 1hour,5-10 hours,yes,no,3,40
Stu17,ENG101,9.33,4.13,2.86,A+,female,60,rural,none,higher education,health,health,course,other,> 1hour,< 2hours,no,no,5,46
Stu18,CS102,16.72,4.31,4.18,A+,male,44,urban,none,secondary education,health,teacher,other,father,30mins - 1 hour,2-5 hours,yes,no,2,31
Stu19,FRN101,17.43,3.98,4.13,A+,female,19,urban,junior high,junior high,health,teacher,other,father,15-30 mins,< 2hours,yes,yes,6,42
Stu20,UFS101,3.87,0.42,0.73,E,female,25,rural,higher education,primary education,health,health,other,father,30mins - 1 hour,>10 hours,no,yes,3,30
Stu21,ENG101,1.49,3.19,2.71,C-,male,57,rural,primary education,none,teacher,civil,course,other,> 1hour,2-5 hours,yes,yes,8,53
Stu22,CS102,17.12,4.92,1.02,A+,male,58,urban,higher education,junior high,teacher,health,course,father,1-15 mins,< 2hours,no,no,8,19
Stu23,ACCT101,8.39,1.63,4.81,A+,male,35,urban,higher education,none,at home,health,course,other,> 1hour,>10 hours,yes,no,10,17
Stu24,FRN101,8.73,0.6,2.98,A+,male,56,rural,primary education,higher education,civil,other,course,father,30mins - 1 hour,>10 hours,no,yes,1,30
Stu25,ENG101,10.48,3.34,0.61,B+,female,19,rural,primary education,secondary education,health,health,other,father,1-15 mins,< 2hours,yes,yes,2,52
Stu26,ACCT101,1.27,4.7,0.72,F,male,18,rural,secondary education,junior high,other,health,reputation,mother,> 1hour,2-5 hours,yes,yes,4,13
Stu27,FRN101,17.12,0.2,0.77,A+,male,31,rural,secondary education,none,at home,teacher,reputation,mother,15-30 mins,>10 hours,yes,no,1,35
Stu28,FRN101,8.77,3.14,3.29,A+,female,49,rural,higher education,higher education,health,civil,course,father,> 1hour,< 2hours,no,yes,3,23
Stu29,CS102,11.61,0.48,4.84,A+,female,22,urban,higher education,none,teacher,teacher,home,mother,15-30 mins,2-5 hours,yes,no,1,20
Stu30,ACCT101,2.96,3.49,3.05,C+,female,24,urban,junior high,secondary education,at home,civil,home,other,15-30 mins,< 2hours,yes,yes,8,29
Stu31,ACCT101,5.87,1.37,3.13,B+,male,38,urban,primary education,junior high,other,teacher,reputation,father,30mins - 1 hour,< 2hours,yes,no,10,19
Stu32,ACCT101,2.35,3.99,3.27,C+,male,50,rural,higher education,junior high,at home,teacher,course,father,15-30 mins,< 2hours,no,no,8,19
Stu33,ACCT101,3.11,4.46,4.88,A-,female,40,rural,primary education,junior high,civil,health,home,mother,> 1hour,< 2hours,yes,yes,2,48
Stu34,FRN101,14.15,2.37,0.02,A,female,48,rural,junior high,higher education,health,civil,other,other,15-30 mins,< 2hours,yes,no,5,54
Stu35,CS102,2.22,1.25,3.13,C,female,44,urban,higher education,higher education,health,teacher,course,father,1-15 mins,< 2hours,no,no,2,45
Stu36,CS102,13.75,4.2,3.76,A+,male,30,rural,higher education,higher education,health,other,home,mother,1-15 mins,< 2hours,yes,no,3,36
Stu37,UFS101,14.67,3.66,1.32,A+,male,40,rural,primary education,higher education,civil,other,course,father,> 1hour,>10 hours,yes,no,5,24
Stu38,UFS101,1.15,4.16,2.29,D,female,19,urban,higher education,none,teacher,at home,course,mother,30mins - 1 hour,5-10 hours,yes,yes,6,45
Stu39,ENG101,16.22,0.43,2.95,A+,female,60,rural,higher education,secondary education,at home,civil,other,mother,1-15 mins,>10 hours,yes,no,10,53
Stu40,IT102,1.18,1.72,2.78,C-,female,43,urban,higher education,secondary education,health,teacher,reputation,father,30mins - 1 hour,>10 hours,no,yes,9,43
Stu41,ACCT101,6.9,4.4,1.73,B-,male,19,urban,secondary education,primary education,other,at home,home,mother,15-30 mins,>10 hours,no,yes,2,23
Stu42,ENG101,15.65,2.36,2.14,A+,female,17,rural,junior high,junior high,other,teacher,reputation,mother,> 1hour,2-5 hours,yes,yes,3,8
Stu43,IT102,8.26,0.79,2.92,A,male,17,rural,primary education,secondary education,other,teacher,home,father,30mins - 1 hour,5-10 hours,yes,no,5,20
Stu44,CS103,11.56,0.17,0.17,B+,female,43,rural,junior high,secondary education,health,health,other,mother,1-15 mins,5-10 hours,yes,yes,5,35
Stu45,IT102,10.36,1.21,0.48,B,female,21,rural,secondary education,junior high,other,civil,home,mother,1-15 mins,>10 hours,yes,yes,10,23
Stu46,IT102,14.79,4.12,2.07,A+,male,17,rural,higher education,none,health,teacher,home,father,> 1hour,5-10 hours,yes,yes,9,32
Stu47,ACCT101,13.64,2.19,0.29,A,male,19,urban,secondary education,junior high,civil,other,reputation,mother,1-15 mins,2-5 hours,no,no,7,35
Stu48,ACCT101,6.43,3.15,2.94,B+,male,21,urban,junior high,higher education,health,at home,other,father,1-15 mins,< 2hours,no,no,7,12
Stu49,CS103,9.59,3.5,4.94,A+,male,44,rural,higher education,secondary education,other,teacher,other,mother,30mins - 1 hour,>10 hours,no,yes,7,42
Stu50,CS103,13.94,1.04,4.39,A+,female,42,rural,higher education,higher education,teacher,health,home,mother,1-15 mins,5-10 hours,no,no,6,52
Stu51,UFS101,4.87,1.36,0.57,D,male,31,urban,secondary education,primary education,civil,other,other,father,> 1hour,5-10 hours,yes,no,8,47
Stu52,ACCT101,15.16,3.36,4.54,A+,female,36,rural,primary education,secondary education,teacher,at home,home,other,> 1hour,>10 hours,yes,no,6,41
Stu53,UFS101,7.13,1.47,3.76,A+,male,40,urban,none,none,civil,civil,home,other,15-30 mins,< 2hours,yes,yes,4,18
Stu54,CS102,1.98,2.7,1.83,D,male,34,rural,junior high,primary education,health,at home,other,other,> 1hour,< 2hours,no,no,2,36
Stu55,ENG101,4.02,0.47,1.05,D,female,51,rural,junior high,higher education,teacher,civil,reputation,mother,1-15 mins,>10 hours,no,no,7,24
Stu56,UFS101,17.49,2.58,3.66,A+,male,20,urban,none,primary education,other,health,home,other,> 1hour,2-5 hours,no,no,5,40
Stu57,ENG101,5.32,0.18,1.87,C+,female,21,urban,junior high,secondary education,civil,other,course,other,15-30 mins,5-10 hours,no,yes,5,53
Stu58,ACCT101,2.97,2.4,4.46,B+,male,54,rural,junior high,higher education,other,teacher,reputation,other,1-15 mins,5-10 hours,yes,yes,5,8
Stu59,IT102,9.61,4.09,0.34,B-,male,38,rural,higher education,primary education,at home,other,course,other,30mins - 1 hour,>10 hours,yes,no,9,41
Stu60,ACCT101,12.12,0.66,3.79,A+,male,26,rural,secondary education,secondary education,civil,health,other,mother,30mins - 1 hour,>10 hours,no,no,1,31
Stu61,UFS101,14.03,4.98,3.1,A+,female,24,urban,none,none,other,teacher,other,father,1-15 mins,< 2hours,no,yes,2,8
Stu62,FRN101,6.22,4.76,0.29,C-,female,54,urban,higher education,primary education,civil,at home,reputation,other,1-15 mins,5-10 hours,no,no,7,25
Stu63,FRN101,1.77,4.3,0.07,F,female,30,urban,primary education,none,at home,at home,home,mother,15-30 mins,>10 hours,yes,yes,9,46
Stu64,IT102,12.53,4.79,0.82,A,female,30,rural,junior high,junior high,teacher,other,other,other,> 1hour,< 2hours,yes,yes,3,29
Stu65,IT102,15.22,1.98,0.53,A+,male,23,rural,secondary education,none,health,at home,other,other,15-30 mins,2-5 hours,yes,yes,10,50
Stu66,CS102,14.87,3.26,3.03,A+,female,40,urban,higher education,secondary education,at home,health,course,mother,30mins - 1 hour,< 2hours,no,yes,8,27
Stu67,UFS101,4.22,4.4,2.12,C,female,42,urban,junior high,junior high,teacher,at home,reputation,father,> 1hour,5-10 hours,yes,yes,4,17
Stu68,ENG101,15.96,2.39,2.53,A+,male,32,urban,secondary education,primary education,other,at home,home,father,1-15 mins,2-5 hours,yes,no,2,11
Stu69,CS103,15.11,3.55,1.35,A+,male,41,urban,higher education,secondary education,civil,health,reputation,mother,> 1hour,2-5 hours,yes,no,8,36
Stu70,UFS101,6.24,2.63,0.01,D,female,27,urban,higher education,junior high,other,health,course,other,> 1hour,< 2hours,yes,yes,4,20
Stu71,CS102,11.33,3.73,3.71,A+,female,52,rural,primary education,secondary education,at home,teacher,course,other,> 1hour,2-5 hours,no,yes,8,47
Stu72,ENG101,1.01,3.54,0.15,F,female,45,rural,secondary education,junior high,health,at home,course,father,30mins - 1 hour,< 2hours,no,no,5,14
Stu73,UFS101,3.63,0.35,4.16,B+,male,28,urban,secondary education,junior high,other,teacher,other,other,30mins - 1 hour,5-10 hours,yes,no,8,33
Stu74,UFS101,4.77,3.43,0.25,E,female,51,urban,none,junior high,teacher,other,home,other,1-15 mins,< 2hours,no,no,1,51
Stu75,UFS101,0.27,4.74,4.81,B-,male,46,urban,primary education,primary education,other,civil,other,father,1-15 mins,5-10 hours,yes,yes,3,17
Stu76,CS103,16.29,1.5,2.7,A+,male,49,urban,junior high,none,other,teacher,course,mother,30mins - 1 hour,< 2hours,yes,yes,1,37
Stu77,CS102,3.22,2.5,4.39,B+,female,28,rural,higher education,higher education,teacher,at home,reputation,mother,30mins - 1 hour,< 2hours,yes,no,5,29
Stu78,UFS101,15.17,3.8,3.69,A+,male,55,rural,higher education,higher education,other,at home,reputation,other,1-15 mins,< 2hours,yes,no,4,12
Stu79,CS102,12.98,4.96,3.08,A+,male,27,rural,primary education,none,other,health,home,other,15-30 mins,< 2hours,yes,yes,3,23
Stu80,CS103,16.57,3.04,2.91,A+,female,27,urban,none,secondary education,civil,civil,home,mother,30mins - 1 hour,5-10 hours,no,no,7,16
Stu81,ENG101,4.76,1.21,4.07,A-,male,60,rural,primary education,primary education,health,health,home,mother,30mins - 1 hour,5-10 hours,yes,no,10,8
Stu82,CS102,9.24,0.93,2.19,A,female,30,rural,junior high,primary education,at home,teacher,home,other,1-15 mins,5-10 hours,no,no,8,17
Stu83,ACCT101,4.01,2.6,0.89,D,male,25,rural,none,junior high,at home,other,home,other,1-15 mins,< 2hours,yes,yes,8,45
Stu84,IT102,9.22,1.93,1.72,A-,female,38,urban,junior high,primary education,other,civil,reputation,other,1-15 mins,2-5 hours,no,yes,1,37
Stu85,CS102,2.91,1.71,4.62,B+,female,25,urban,none,none,health,civil,course,mother,> 1hour,>10 hours,yes,no,10,11
Stu86,FRN101,14.53,3.01,3.32,A+,male,54,rural,higher education,higher education,civil,civil,home,mother,30mins - 1 hour,< 2hours,yes,yes,1,42
Stu87,CS102,3.62,3.9,4.42,B+,male,20,urban,primary education,primary education,teacher,civil,other,father,15-30 mins,2-5 hours,no,yes,7,35
Stu88,FRN101,2.67,4.2,1.2,E,female,58,rural,secondary education,secondary education,teacher,civil,course,mother,1-15 mins,5-10 hours,no,no,9,23
Stu89,UFS101,15.59,3.43,2.28,A+,female,28,rural,none,secondary education,other,other,course,other,15-30 mins,5-10 hours,yes,no,7,15
Stu90,FRN101,1.94,2.85,2.53,C-,female,17,rural,higher education,higher education,civil,civil,other,other,30mins - 1 hour,2-5 hours,no,yes,7,45
Stu91,CS102,4.4,3.26,4.51,A-,female,35,urban,none,secondary education,teacher,health,home,other,15-30 mins,>10 hours,yes,yes,9,21
Stu92,ENG101,14.75,2.21,4.27,A+,female,47,rural,secondary education,junior high,at home,teacher,home,father,> 1hour,>10 hours,no,yes,6,22
Stu93,FRN101,8.6,2.37,1.03,B,female,53,rural,primary education,primary education,at home,teacher,course,mother,30mins - 1 hour,>10 hours,no,no,4,38
Stu94,IT102,0.19,3.22,2.09,F,female,57,urban,none,higher education,other,civil,reputation,mother,1-15 mins,2-5 hours,yes,no,5,11
Stu95,IT102,14.82,0.04,0.86,A+,female,51,rural,primary education,junior high,at home,teacher,other,father,> 1hour,2-5 hours,yes,yes,8,26
Stu96,ENG101,11.98,3.75,4.77,A+,female,60,urban,higher education,secondary education,health,civil,reputation,mother,30mins - 1 hour,2-5 hours,yes,yes,7,20
Stu97,ENG101,11.22,1.57,3.17,A+,male,30,rural,junior high,primary education,at home,civil,other,mother,> 1hour,< 2hours,no,yes,4,21
Stu98,CS102,14.3,1.03,4.21,A+,male,60,rural,none,higher education,health,health,reputation,other,1-15 mins,>10 hours,yes,no,4,26
Stu99,UFS101,0.07,4.74,2.49,E,female,21,rural,higher education,none,teacher,civil,home,other,30mins - 1 hour,5-10 hours,no,no,3,48
Stu100,FRN101,0.66,3.6,4.11,C+,male,42,rural,primary education,secondary education,at home,civil,reputation,other,30mins - 1 hour,>10 hours,no,no,1,32
Stu101,FRN101,7.85,2.83,2.69,A-,female,26,rural,primary education,primary education,at home,at home,course,mother,1-15 mins,5-10 hours,no,yes,4,29
Stu102,ACCT101,11.34,3.9,4.67,A+,male,46,urban,secondary education,junior high,other,teacher,other,father,> 1hour,5-10 hours,no,yes,6,36
Stu103,IT102,2.34,1.75,2.98,C,female,60,rural,none,junior high,health,health,course,father,30mins - 1 hour,5-10 hours,yes,no,6,38
Stu104,IT102,6.56,3.65,1.51,B-,male,45,urban,secondary education,secondary education,civil,teacher,reputation,mother,> 1hour,5-10 hours,no,yes,2,11
Stu105,UFS101,13.09,2.57,4.49,A+,male,50,rural,primary education,higher education,teacher,civil,course,other,> 1hour,< 2hours,no,yes,4,33
Stu106,CS103,14.61,3.82,3.67,A+,male,60,rural,junior high,junior high,at home,civil,reputation,mother,15-30 mins,< 2hours,no,yes,4,23
Stu107,CS103,13.52,4.64,2.35,A+,male,44,rural,primary education,higher education,health,at home,other,father,15-30 mins,< 2hours,no,no,9,15
Stu108,IT102,1.59,4.82,2.98,C,male,55,urban,primary education,higher education,teacher,health,course,mother,> 1hour,>10 hours,no,no,7,34
Stu109,ACCT101,10.13,4.36,4.85,A+,female,35,rural,junior high,secondary education,at home,at home,reputation,father,> 1hour,2-5 hours,yes,yes,2,22
Stu110,FRN101,15.52,4.57,1.22,A+,male,31,rural,none,junior high,other,civil,course,other,15-30 mins,>10 hours,yes,no,6,41
Stu111,ACCT101,5.95,2.36,3.5,A-,male,30,rural,none,junior high,teacher,at home,home,mother,1-15 mins,< 2hours,no,no,9,34
Stu112,CS103,14.06,4.41,0.51,A+,female,49,rural,secondary education,none,at home,health,other,father,1-15 mins,>10 hours,yes,no,5,29
Stu113,CS103,13.26,2.06,1.78,A+,male,37,urban,secondary education,junior high,teacher,teacher,reputation,mother,1-15 mins,< 2hours,no,yes,9,8
Stu114,ACCT101,15.77,3.6,2.52,A+,male,20,urban,none,higher education,at home,teacher,reputation,father,> 1hour,2-5 hours,no,no,1,52
Stu115,UFS101,11.12,3.38,4.21,A+,female,38,urban,primary education,none,health,civil,course,father,> 1hour,2-5 hours,no,yes,9,37
Stu116,CS103,17.37,1.77,3.6,A+,female,22,rural,junior high,primary education,health,other,home,father,> 1hour,>10 hours,no,yes,6,25
Stu117,FRN101,5.98,1.33,0.05,D,male,18,urban,junior high,junior high,civil,health,other,mother,> 1hour,2-5 hours,yes,yes,4,14
Stu118,CS102,5.9,4.85,2.92,B+,female,41,urban,junior high,higher education,other,health,other,father,1-15 mins,5-10 hours,yes,yes,7,50
Stu119,IT102,14.62,0.26,1.49,A+,male,46,urban,secondary education,none,health,civil,other,mother,1-15 mins,2-5 hours,no,yes,1,19
Stu120,ENG101,14.12,0.24,1.55,A+,male,19,urban,higher education,secondary education,civil,teacher,other,other,> 1hour,5-10 hours,no,no,6,40
Stu121,IT102,7.08,2.33,1.09,C+,male,55,rural,none,primary education,teacher,health,home,father,> 1hour,>10 hours,yes,no,8,9
Stu122,IT102,9.69,1.33,1.07,B+,male,17,urban,higher education,higher education,civil,teacher,course,mother,15-30 mins,>10 hours,yes,yes,2,35
Stu123,IT102,15.45,2.67,0.3,A+,female,18,rural,none,junior high,at home,civil,other,mother,30mins - 1 hour,2-5 hours,yes,no,10,44
Stu124,CS102,5.66,0.25,0.48,C-,male,17,rural,primary education,higher education,other,teacher,other,father,1-15 mins,5-10 hours,yes,yes,10,27
Stu125,CS103,15.86,1.02,0.48,A+,female,34,urban,none,higher education,at home,health,home,other,15-30 mins,5-10 hours,no,yes,10,31
Stu126,CS103,6.13,3.01,2.03,B-,female,60,urban,none,primary education,civil,at home,home,other,1-15 mins,>10 hours,yes,yes,6,19
Stu127,ENG101,13.2,3.92,3.77,A+,male,17,urban,junior high,higher education,at home,other,reputation,father,1-15 mins,>10 hours,yes,no,8,36
Stu128,UFS101,2.12,2.53,2.99,C,male,30,urban,primary education,primary education,civil,at home,other,mother,> 1hour,>10 hours,yes,no,6,46
Stu129,IT102,8.6,3.52,3.84,A+,female,57,rural,junior high,none,teacher,teacher,other,mother,1-15 mins,2-5 hours,yes,no,8,14
Stu130,CS103,9.31,0.74,3.29,A+,female,24,urban,secondary education,primary education,teacher,teacher,home,other,30mins - 1 hour,>10 hours,yes,no,8,37
Stu131,ACCT101,12.44,2.94,3.97,A+,female,37,urban,secondary education,junior high,health,health,reputation,other,> 1hour,2-5 hours,no,no,4,44
Stu132,FRN101,3.28,1.48,1.84,C-,female,30,rural,higher education,higher education,health,teacher,other,other,1-15 mins,2-5 hours,no,no,6,53
Stu133,ENG101,2.94,2.67,4.59,B+,female,20,urban,secondary education,junior high,civil,civil,reputation,father,1-15 mins,2-5 hours,no,yes,10,37
Stu134,FRN101,12.38,3.33,3.58,A+,female,24,rural,higher education,primary education,civil,health,reputation,mother,1-15 mins,2-5 hours,no,yes,7,48
Stu135,ACCT101,2.41,0.44,0.12,F,male,48,rural,junior high,higher education,other,other,reputation,other,30mins - 1 hour,< 2hours,yes,no,7,29
Stu136,IT102,16.66,0.54,0.55,A+,male,21,urban,none,higher education,at home,at home,reputation,other,> 1hour,5-10 hours,yes,no,10,8
Stu137,CS103,4.37,0.62,0.78,D,male,47,urban,none,secondary education,other,health,reputation,other,> 1hour,>10 hours,yes,yes,2,12
Stu138,FRN101,5.01,4.33,3.65,B+,female,34,rural,primary education,secondary education,teacher,at home,home,mother,> 1hour,2-5 hours,yes,yes,6,40
Stu139,FRN101,3.29,1.12,0.51,F,male,48,rural,higher education,junior high,civil,civil,course,mother,30mins - 1 hour,5-10 hours,yes,yes,1,20
Stu140,CS102,14.03,3.31,0.05,A,female,51,urban,primary education,none,at home,teacher,reputation,mother,1-15 mins,5-10 hours,no,no,7,43
Stu141,CS103,9.25,0.89,1.48,B+,male,41,urban,junior high,primary education,teacher,civil,reputation,other,> 1hour,5-10 hours,no,no,8,52
Stu142,ENG101,0.17,4.92,0.59,F,male,28,urban,primary education,none,civil,civil,home,father,15-30 mins,>10 hours,yes,yes,6,34
Stu143,IT102,12.5,1.03,3.28,A+,male,43,rural,junior high,secondary education,other,at home,home,mother,1-15 mins,>10 hours,no,no,3,36
Stu144,ACCT101,10.07,1.19,1.73,A,male,45,rural,higher education,higher education,teacher,teacher,course,father,15-30 mins,< 2hours,no,no,9,29
Stu145,CS103,14.16,1.5,4.6,A+,male,32,urban,junior high,primary education,at home,health,home,other,> 1hour,5-10 hours,yes,no,3,41
Stu146,CS103,3.6,4.17,2.94,C+,female,35,rural,secondary education,none,health,at home,other,father,1-15 mins,>10 hours,yes,no,9,30
Stu147,CS102,8.74,0.44,0.48,B-,male,51,urban,junior high,junior high,at home,other,reputation,father,> 1hour,< 2hours,yes,no,6,52
Stu148,ACCT101,10.06,3.36,0.52,B,male,21,urban,secondary education,none,other,health,other,other,15-30 mins,5-10 hours,no,yes,3,41
Stu149,UFS101,0.45,2.41,0.69,F,female,36,urban,junior high,primary education,teacher,health,reputation,father,30mins - 1 hour,< 2hours,yes,yes,2,36
Stu150,FRN101,6.35,0.27,4.82,A+,male,32,rural,primary education,junior high,civil,other,other,mother,> 1hour,5-10 hours,yes,no,4,29
Stu151,ACCT101,3.66,2.85,1.16,D,male,25,rural,secondary education,primary education,teacher,at home,course,father,30mins - 1 hour,2-5 hours,no,yes,6,51
Stu152,FRN101,12.47,3.06,3.6,A+,female,44,rural,none,higher education,teacher,other,home,mother,15-30 mins,>10 hours,yes,yes,5,52
Stu153,IT102,9.24,0.3,0.83,B,male,22,urban,higher education,higher education,health,at home,home,father,15-30 mins,5-10 hours,no,yes,8,52
Stu154,CS103,14.32,0.66,2.75,A+,female,34,urban,junior high,secondary education,other,other,home,father,30mins - 1 hour,2-5 hours,yes,yes,4,10
Stu155,ENG101,15.76,0.22,1.16,A+,male,55,rural,primary education,primary education,teacher,at home,course,mother,1-15 mins,>10 hours,no,no,8,44
Stu156,UFS101,16.12,0.01,3.82,A+,male,46,rural,primary education,none,at home,civil,reputation,mother,1-15 mins,>10 hours,yes,no,3,37
Stu157,ACCT101,10.04,2.36,2.15,A,male,27,urban,none,higher education,teacher,teacher,home,father,1-15 mins,5-10 hours,yes,yes,9,14
Stu158,CS102,16.98,4.89,1.41,A+,male,25,urban,junior high,higher education,civil,civil,reputation,mother,30mins - 1 hour,2-5 hours,yes,yes,2,26
Stu159,UFS101,14.71,4.72,4.58,A+,female,47,urban,secondary education,primary education,at home,health,reputation,other,> 1hour,2-5 hours,yes,no,1,35
Stu160,UFS101,5.39,2.85,0.3,D,male,24,rural,higher education,higher education,health,teacher,home,father,30mins - 1 hour,5-10 hours,no,no,4,38
Stu161,ENG101,8.49,2.51,4.63,A+,female,45,rural,primary education,junior high,health,health,reputation,father,1-15 mins,5-10 hours,no,no,2,28
Stu162,UFS101,7.42,3.04,2.52,B+,male,58,urban,higher education,primary education,other,other,home,other,30mins - 1 hour,5-10 hours,yes,yes,6,37
Stu163,UFS101,9.62,0.26,1.09,B+,male,23,urban,higher education,secondary education,other,health,reputation,other,30mins - 1 hour,< 2hours,no,no,8,49
Stu164,CS102,6.64,1.14,0.13,C-,female,22,rural,primary education,primary education,at home,health,reputation,mother,1-15 mins,< 2hours,yes,yes,1,37
Stu165,CS102,17.12,2.9,4.61,A+,male,29,rural,none,secondary education,civil,civil,other,other,15-30 mins,>10 hours,no,no,3,16
Stu166,FRN101,15.77,1.91,0.72,A+,male,33,rural,higher education,junior high,other,other,reputation,other,15-30 mins,2-5 hours,yes,no,3,43
Stu167,IT102,15.64,3.32,1.56,A+,male,60,urban,higher education,primary education,at home,at home,home,other,15-30 mins,>10 hours,no,yes,3,30
Stu168,IT102,8.99,0.85,4.44,A+,female,35,urban,primary education,none,health,civil,other,father,1-15 mins,5-10 hours,no,yes,4,17
Stu169,UFS101,1.21,2.36,3.34,C,male,24,urban,secondary education,higher education,other,at home,other,other,15-30 mins,5-10 hours,no,yes,8,48
Stu170,ACCT101,17.17,4.22,2.84,A+,male,39,urban,junior high,primary education,civil,at home,reputation,father,1-15 mins,2-5 hours,no,yes,3,15
Stu171,CS103,3.39,4.79,4.69,A-,female,39,rural,primary education,secondary education,civil,teacher,home,other,> 1hour,2-5 hours,no,no,8,21
Stu172,UFS101,12.87,1.06,2.45,A+,female,60,urban,none,junior high,other,civil,home,mother,15-30 mins,< 2hours,yes,yes,10,35
Stu173,CS103,6.62,3.41,4.65,A+,male,42,rural,primary education,secondary education,teacher,other,course,father,30mins - 1 hour,5-10 hours,no,yes,1,20
Stu174,ACCT101,9.3,2.09,1.71,A-,female,58,rural,none,primary education,health,civil,other,father,15-30 mins,>10 hours,yes,yes,3,31
Stu175,CS102,8.19,0.2,4.33,A+,male,32,urban,secondary education,higher education,at home,civil,home,other,> 1hour,2-5 hours,no,no,10,52
Stu176,IT102,16.3,4.18,0.12,A+,male,19,urban,primary education,secondary education,other,at home,other,mother,30mins - 1 hour,>10 hours,yes,yes,3,18
Stu177,FRN101,17.45,3.37,2.71,A+,male,50,urban,higher education,secondary education,at home,health,reputation,mother,15-30 mins,>10 hours,no,yes,9,16
Stu178,UFS101,1.28,1.72,3.88,C+,male,41,rural,higher education,none,teacher,other,course,other,> 1hour,5-10 hours,yes,yes,4,23
Stu179,FRN101,1.0,3.39,1.47,F,male,24,rural,none,junior high,teacher,at home,other,father,15-30 mins,>10 hours,no,no,10,29
Stu180,ACCT101,10.09,0.4,3.24,A+,male,58,rural,primary education,higher education,teacher,other,reputation,mother,30mins - 1 hour,2-5 hours,no,no,7,16
Stu181,CS102,1.4,0.37,2.73,C-,female,47,urban,junior high,secondary education,civil,teacher,home,mother,> 1hour,< 2hours,yes,no,1,48
Stu182,FRN101,3.39,0.0,2.19,C,male,45,urban,secondary education,secondary education,teacher,civil,reputation,other,15-30 mins,2-5 hours,yes,yes,1,9
Stu183,UFS101,5.52,1.36,2.98,B,male,42,urban,primary education,primary education,other,at home,reputation,father,1-15 mins,>10 hours,no,no,1,27
Stu184,UFS101,12.97,4.68,2.54,A+,male,58,rural,junior high,primary education,at home,health,home,mother,15-30 mins,>10 hours,no,no,1,21
Stu185,UFS101,10.76,0.96,2.51,A+,female,28,urban,none,junior high,other,other,reputation,father,30mins - 1 hour,>10 hours,no,yes,6,49
Stu186,CS102,6.99,1.67,2.02,B,male,26,urban,primary education,primary education,teacher,at home,home,other,30mins - 1 hour,>10 hours,no,no,2,15
Stu187,CS102,14.16,3.89,0.83,A+,male,35,urban,secondary education,none,at home,civil,home,father,> 1hour,>10 hours,no,yes,7,19
Stu188,FRN101,5.51,1.65,1.1,C,female,20,urban,none,secondary education,teacher,other,other,other,> 1hour,2-5 hours,no,no,4,8
Stu189,IT102,7.57,3.62,1.87,B,female,52,rural,junior high,primary education,teacher,at home,reputation,other,1-15 mins,2-5 hours,no,no,1,43
